segment,country,product,discount_band,units_sold,manufacturing_price,sale_price,gross_sales,discounts,sales,cogs,profit,date,month_number,month_name,year,año,mes,mes_nombre,trimestre,margen_bruto_pct,tasa_descuento_pct,ratio_cogs_ventas,rentabilidad_cat
Midmarket,Germany, VTT , None , $888.00 ,250.0,15.0,13320.0,,13320.0,8880.0,4440.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,33.33,,66.67,🟢 Alta (>30%)
Government,France, VTT , None ," $1,527.00 ",250.0,350.0,534450.0,,534450.0,397020.0,137430.0,2013-01-09,9, September ,2013,2013,1,Jan,Q1,25.71,,74.29,🟡 Media (15-30%)
Small Business,France, VTT , None ," $2,151.00 ",250.0,300.0,645300.0,,645300.0,537750.0,107550.0,2014-01-09,9, September ,2014,2014,1,Jan,Q1,16.67,,83.33,🟡 Media (15-30%)
Government,Canada, VTT , None ," $1,817.00 ",250.0,20.0,36340.0,,36340.0,18170.0,18170.0,2014-01-12,12, December ,2014,2014,1,Jan,Q1,50.0,,50.0,🟢 Alta (>30%)
Government,France, Amarilla , None ," $2,750.00 ",260.0,350.0,962500.0,,962500.0,715000.0,247500.0,2014-01-02,2, February ,2014,2014,1,Jan,Q1,25.71,,74.29,🟡 Media (15-30%)
Channel Partners,United States of America, Amarilla , None ," $1,953.00 ",260.0,12.0,23436.0,,23436.0,5859.0,17577.0,2014-01-04,4, April ,2014,2014,1,Jan,Q1,75.0,,25.0,🟢 Alta (>30%)
Enterprise,Germany, Amarilla , None ," $4,219.50 ",260.0,125.0,527437.5,,527437.5,506340.0,21097.5,2014-01-04,4, April ,2014,2014,1,Jan,Q1,4.0,,96.0,🟠 Baja (0-15%)
Government,France, Amarilla , None ," $1,899.00 ",260.0,20.0,37980.0,,37980.0,18990.0,18990.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,50.0,,50.0,🟢 Alta (>30%)
Government,Germany, Amarilla , None ," $1,686.00 ",260.0,7.0,11802.0,,11802.0,8430.0,3372.0,2014-01-07,7, July ,2014,2014,1,Jan,Q1,28.57,,71.43,🟡 Media (15-30%)
Channel Partners,United States of America, Amarilla , None ," $2,141.00 ",260.0,12.0,25692.0,,25692.0,6423.0,19269.0,2014-01-08,8, August ,2014,2014,1,Jan,Q1,75.0,,25.0,🟢 Alta (>30%)
Government,United States of America, Amarilla , None ," $1,143.00 ",260.0,7.0,8001.0,,8001.0,5715.0,2286.0,2014-01-10,10, October ,2014,2014,1,Jan,Q1,28.57,,71.43,🟡 Media (15-30%)
Midmarket,United States of America, Amarilla , None , $615.00 ,260.0,15.0,9225.0,,9225.0,6150.0,3075.0,2014-01-12,12, December ,2014,2014,1,Jan,Q1,33.33,,66.67,🟢 Alta (>30%)
Government,France, Paseo , Low ," $3,945.00 ",10.0,7.0,27615.0,276.15,27338.85,19725.0,7613.85,2014-01-01,1, January ,2014,2014,1,Jan,Q1,27.85,1.0,72.15,🟡 Media (15-30%)
Midmarket,France, Paseo , Low ," $2,296.00 ",10.0,15.0,34440.0,344.4,34095.6,22960.0,11135.6,2014-01-02,2, February ,2014,2014,1,Jan,Q1,32.66,1.0,67.34,🟢 Alta (>30%)
Government,France, Paseo , Low ," $1,030.00 ",10.0,7.0,7210.0,72.1,7137.9,5150.0,1987.9,2014-01-05,5, May ,2014,2014,1,Jan,Q1,27.85,1.0,72.15,🟡 Media (15-30%)
Government,France, Velo , Low , $639.00 ,120.0,7.0,4473.0,44.73,4428.27,3195.0,1233.27,2014-01-11,11, November ,2014,2014,1,Jan,Q1,27.85,1.0,72.15,🟡 Media (15-30%)
Government,Canada, VTT , Low ," $1,326.00 ",250.0,7.0,9282.0,92.82,9189.18,6630.0,2559.18,2014-01-03,3, March ,2014,2014,1,Jan,Q1,27.85,1.0,72.15,🟡 Media (15-30%)
Channel Partners,United States of America, Carretera , Low ," $1,858.00 ",3.0,12.0,22296.0,222.96,22073.04,5574.0,16499.04,2014-01-02,2, February ,2014,2014,1,Jan,Q1,74.75,1.0,25.25,🟢 Alta (>30%)
Government,Mexico, Carretera , Low ," $1,210.00 ",3.0,350.0,423500.0,4235.0,419265.0,314600.0,104665.0,2014-01-03,3, March ,2014,2014,1,Jan,Q1,24.96,1.0,75.04,🟡 Media (15-30%)
Government,United States of America, Carretera , Low ," $2,529.00 ",3.0,7.0,17703.0,177.03,17525.97,12645.0,4880.97,2014-01-07,7, July ,2014,2014,1,Jan,Q1,27.85,1.0,72.15,🟡 Media (15-30%)
Channel Partners,Canada, Carretera , Low ," $1,445.00 ",3.0,12.0,17340.0,173.4,17166.6,4335.0,12831.6,2014-01-09,9, September ,2014,2014,1,Jan,Q1,74.75,1.0,25.25,🟢 Alta (>30%)
Enterprise,United States of America, Carretera , Low , $330.00 ,3.0,125.0,41250.0,412.5,40837.5,39600.0,1237.5,2013-01-09,9, September ,2013,2013,1,Jan,Q1,3.03,1.0,96.97,🟠 Baja (0-15%)
Channel Partners,France, Carretera , Low ," $2,671.00 ",3.0,12.0,32052.0,320.52,31731.48,8013.0,23718.48,2014-01-09,9, September ,2014,2014,1,Jan,Q1,74.75,1.0,25.25,🟢 Alta (>30%)
Channel Partners,Germany, Carretera , Low , $766.00 ,3.0,12.0,9192.0,91.92,9100.08,2298.0,6802.08,2013-01-10,10, October ,2013,2013,1,Jan,Q1,74.75,1.0,25.25,🟢 Alta (>30%)
Small Business,Mexico, Carretera , Low , $494.00 ,3.0,300.0,148200.0,1482.0,146718.0,123500.0,23218.0,2013-01-10,10, October ,2013,2013,1,Jan,Q1,15.82,1.0,84.18,🟡 Media (15-30%)
Government,Mexico, Carretera , Low ," $1,397.00 ",3.0,350.0,488950.0,4889.5,484060.5,363220.0,120840.5,2014-01-10,10, October ,2014,2014,1,Jan,Q1,24.96,1.0,75.04,🟡 Media (15-30%)
Government,France, Carretera , Low ," $2,155.00 ",3.0,350.0,754250.0,7542.5,746707.5,560300.0,186407.5,2014-01-12,12, December ,2014,2014,1,Jan,Q1,24.96,1.0,75.04,🟡 Media (15-30%)
Midmarket,Mexico, Montana , Low ," $2,214.00 ",5.0,15.0,33210.0,332.1,32877.9,22140.0,10737.9,2014-01-03,3, March ,2014,2014,1,Jan,Q1,32.66,1.0,67.34,🟢 Alta (>30%)
Small Business,United States of America, Montana , Low ," $2,301.00 ",5.0,300.0,690300.0,6903.0,683397.0,575250.0,108147.0,2014-01-04,4, April ,2014,2014,1,Jan,Q1,15.82,1.0,84.18,🟡 Media (15-30%)
Government,France, Montana , Low ," $1,375.50 ",5.0,20.0,27510.0,275.1,27234.9,13755.0,13479.9,2014-01-07,7, July ,2014,2014,1,Jan,Q1,49.49,1.0,50.51,🟢 Alta (>30%)
Government,Canada, Montana , Low ," $1,830.00 ",5.0,7.0,12810.0,128.1,12681.9,9150.0,3531.9,2014-01-08,8, August ,2014,2014,1,Jan,Q1,27.85,1.0,72.15,🟡 Media (15-30%)
Small Business,United States of America, Montana , Low ," $2,498.00 ",5.0,300.0,749400.0,7494.0,741906.0,624500.0,117406.0,2013-01-09,9, September ,2013,2013,1,Jan,Q1,15.82,1.0,84.18,🟡 Media (15-30%)
Enterprise,United States of America, Montana , Low , $663.00 ,5.0,125.0,82875.0,828.75,82046.25,79560.0,2486.25,2013-01-10,10, October ,2013,2013,1,Jan,Q1,3.03,1.0,96.97,🟠 Baja (0-15%)
Midmarket,United States of America, Paseo , Low ," $1,514.00 ",10.0,15.0,22710.0,227.1,22482.9,15140.0,7342.9,2014-01-02,2, February ,2014,2014,1,Jan,Q1,32.66,1.0,67.34,🟢 Alta (>30%)
Government,United States of America, Paseo , Low ," $4,492.50 ",10.0,7.0,31447.5,314.48,31133.03,22462.5,8670.53,2014-01-04,4, April ,2014,2014,1,Jan,Q1,27.85,1.0,72.15,🟡 Media (15-30%)
Enterprise,United States of America, Paseo , Low , $727.00 ,10.0,125.0,90875.0,908.75,89966.25,87240.0,2726.25,2014-01-06,6, June ,2014,2014,1,Jan,Q1,3.03,1.0,96.97,🟠 Baja (0-15%)
Enterprise,France, Paseo , Low , $787.00 ,10.0,125.0,98375.0,983.75,97391.25,94440.0,2951.25,2014-01-06,6, June ,2014,2014,1,Jan,Q1,3.03,1.0,96.97,🟠 Baja (0-15%)
Enterprise,Mexico, Paseo , Low ," $1,823.00 ",10.0,125.0,227875.0,2278.75,225596.25,218760.0,6836.25,2014-01-07,7, July ,2014,2014,1,Jan,Q1,3.03,1.0,96.97,🟠 Baja (0-15%)
Midmarket,Germany, Paseo , Low , $747.00 ,10.0,15.0,11205.0,112.05,11092.95,7470.0,3622.95,2014-01-09,9, September ,2014,2014,1,Jan,Q1,32.66,1.0,67.34,🟢 Alta (>30%)
Channel Partners,Germany, Paseo , Low , $766.00 ,10.0,12.0,9192.0,91.92,9100.08,2298.0,6802.08,2013-01-10,10, October ,2013,2013,1,Jan,Q1,74.75,1.0,25.25,🟢 Alta (>30%)
Small Business,United States of America, Paseo , Low ," $2,905.00 ",10.0,300.0,871500.0,8715.0,862785.0,726250.0,136535.0,2014-01-11,11, November ,2014,2014,1,Jan,Q1,15.82,1.0,84.18,🟡 Media (15-30%)
Government,France, Paseo , Low ," $2,155.00 ",10.0,350.0,754250.0,7542.5,746707.5,560300.0,186407.5,2014-01-12,12, December ,2014,2014,1,Jan,Q1,24.96,1.0,75.04,🟡 Media (15-30%)
Government,France, Velo , Low ," $3,864.00 ",120.0,20.0,77280.0,772.8,76507.2,38640.0,37867.2,2014-01-04,4, April ,2014,2014,1,Jan,Q1,49.49,1.0,50.51,🟢 Alta (>30%)
Government,Mexico, Velo , Low , $362.00 ,120.0,7.0,2534.0,25.34,2508.66,1810.0,698.66,2014-01-05,5, May ,2014,2014,1,Jan,Q1,27.85,1.0,72.15,🟡 Media (15-30%)
Enterprise,Canada, Velo , Low , $923.00 ,120.0,125.0,115375.0,1153.75,114221.25,110760.0,3461.25,2014-01-08,8, August ,2014,2014,1,Jan,Q1,3.03,1.0,96.97,🟠 Baja (0-15%)
Enterprise,United States of America, Velo , Low , $663.00 ,120.0,125.0,82875.0,828.75,82046.25,79560.0,2486.25,2013-01-10,10, October ,2013,2013,1,Jan,Q1,3.03,1.0,96.97,🟠 Baja (0-15%)
Government,Canada, Velo , Low ," $2,092.00 ",120.0,7.0,14644.0,146.44,14497.56,10460.0,4037.56,2013-01-11,11, November ,2013,2013,1,Jan,Q1,27.85,1.0,72.15,🟡 Media (15-30%)
Government,Germany, VTT , Low , $263.00 ,250.0,7.0,1841.0,18.41,1822.59,1315.0,507.59,2014-01-03,3, March ,2014,2014,1,Jan,Q1,27.85,1.0,72.15,🟡 Media (15-30%)
Government,Canada, VTT , Low , $943.50 ,250.0,350.0,330225.0,3302.25,326922.75,245310.0,81612.75,2014-01-04,4, April ,2014,2014,1,Jan,Q1,24.96,1.0,75.04,🟡 Media (15-30%)
Enterprise,United States of America, VTT , Low , $727.00 ,250.0,125.0,90875.0,908.75,89966.25,87240.0,2726.25,2014-01-06,6, June ,2014,2014,1,Jan,Q1,3.03,1.0,96.97,🟠 Baja (0-15%)
Enterprise,France, VTT , Low , $787.00 ,250.0,125.0,98375.0,983.75,97391.25,94440.0,2951.25,2014-01-06,6, June ,2014,2014,1,Jan,Q1,3.03,1.0,96.97,🟠 Baja (0-15%)
Small Business,Germany, VTT , Low , $986.00 ,250.0,300.0,295800.0,2958.0,292842.0,246500.0,46342.0,2014-01-09,9, September ,2014,2014,1,Jan,Q1,15.82,1.0,84.18,🟡 Media (15-30%)
Small Business,Mexico, VTT , Low , $494.00 ,250.0,300.0,148200.0,1482.0,146718.0,123500.0,23218.0,2013-01-10,10, October ,2013,2013,1,Jan,Q1,15.82,1.0,84.18,🟡 Media (15-30%)
Government,Mexico, VTT , Low ," $1,397.00 ",250.0,350.0,488950.0,4889.5,484060.5,363220.0,120840.5,2014-01-10,10, October ,2014,2014,1,Jan,Q1,24.96,1.0,75.04,🟡 Media (15-30%)
Enterprise,France, VTT , Low ," $1,744.00 ",250.0,125.0,218000.0,2180.0,215820.0,209280.0,6540.0,2014-01-11,11, November ,2014,2014,1,Jan,Q1,3.03,1.0,96.97,🟠 Baja (0-15%)
Channel Partners,United States of America, Amarilla , Low ," $1,989.00 ",260.0,12.0,23868.0,238.68,23629.32,5967.0,17662.32,2013-01-09,9, September ,2013,2013,1,Jan,Q1,74.75,1.0,25.25,🟢 Alta (>30%)
Midmarket,France, Amarilla , Low , $321.00 ,260.0,15.0,4815.0,48.15,4766.85,3210.0,1556.85,2013-01-11,11, November ,2013,2013,1,Jan,Q1,32.66,1.0,67.34,🟢 Alta (>30%)
Enterprise,Canada, Carretera , Low , $742.50 ,3.0,125.0,92812.5,1856.25,90956.25,89100.0,1856.25,2014-01-04,4, April ,2014,2014,1,Jan,Q1,2.04,2.0,97.96,🟠 Baja (0-15%)
Channel Partners,Canada, Carretera , Low ," $1,295.00 ",3.0,12.0,15540.0,310.8,15229.2,3885.0,11344.2,2014-01-10,10, October ,2014,2014,1,Jan,Q1,74.49,2.0,25.51,🟢 Alta (>30%)
Small Business,Germany, Carretera , Low , $214.00 ,3.0,300.0,64200.0,1284.0,62916.0,53500.0,9416.0,2013-01-10,10, October ,2013,2013,1,Jan,Q1,14.97,2.0,85.03,🟠 Baja (0-15%)
Government,France, Carretera , Low ," $2,145.00 ",3.0,7.0,15015.0,300.3,14714.7,10725.0,3989.7,2013-01-11,11, November ,2013,2013,1,Jan,Q1,27.11,2.0,72.89,🟡 Media (15-30%)
Government,Canada, Carretera , Low ," $2,852.00 ",3.0,350.0,998200.0,19964.0,978236.0,741520.0,236716.0,2014-01-12,12, December ,2014,2014,1,Jan,Q1,24.2,2.0,75.8,🟡 Media (15-30%)
Channel Partners,United States of America, Montana , Low ," $1,142.00 ",5.0,12.0,13704.0,274.08,13429.92,3426.0,10003.92,2014-01-06,6, June ,2014,2014,1,Jan,Q1,74.49,2.0,25.51,🟢 Alta (>30%)
Government,United States of America, Montana , Low ," $1,566.00 ",5.0,20.0,31320.0,626.4,30693.6,15660.0,15033.6,2014-01-10,10, October ,2014,2014,1,Jan,Q1,48.98,2.0,51.02,🟢 Alta (>30%)
Channel Partners,Mexico, Montana , Low , $690.00 ,5.0,12.0,8280.0,165.6,8114.4,2070.0,6044.4,2014-01-11,11, November ,2014,2014,1,Jan,Q1,74.49,2.0,25.51,🟢 Alta (>30%)
Enterprise,Mexico, Montana , Low ," $1,660.00 ",5.0,125.0,207500.0,4150.0,203350.0,199200.0,4150.0,2013-01-11,11, November ,2013,2013,1,Jan,Q1,2.04,2.0,97.96,🟠 Baja (0-15%)
Midmarket,Canada, Paseo , Low ," $2,363.00 ",10.0,15.0,35445.0,708.9,34736.1,23630.0,11106.1,2014-01-02,2, February ,2014,2014,1,Jan,Q1,31.97,2.0,68.03,🟢 Alta (>30%)
Small Business,France, Paseo , Low , $918.00 ,10.0,300.0,275400.0,5508.0,269892.0,229500.0,40392.0,2014-01-05,5, May ,2014,2014,1,Jan,Q1,14.97,2.0,85.03,🟠 Baja (0-15%)
Small Business,Germany, Paseo , Low ," $1,728.00 ",10.0,300.0,518400.0,10368.0,508032.0,432000.0,76032.0,2014-01-05,5, May ,2014,2014,1,Jan,Q1,14.97,2.0,85.03,🟠 Baja (0-15%)
Channel Partners,United States of America, Paseo , Low ," $1,142.00 ",10.0,12.0,13704.0,274.08,13429.92,3426.0,10003.92,2014-01-06,6, June ,2014,2014,1,Jan,Q1,74.49,2.0,25.51,🟢 Alta (>30%)
Enterprise,Mexico, Paseo , Low , $662.00 ,10.0,125.0,82750.0,1655.0,81095.0,79440.0,1655.0,2014-01-06,6, June ,2014,2014,1,Jan,Q1,2.04,2.0,97.96,🟠 Baja (0-15%)
Channel Partners,Canada, Paseo , Low ," $1,295.00 ",10.0,12.0,15540.0,310.8,15229.2,3885.0,11344.2,2014-01-10,10, October ,2014,2014,1,Jan,Q1,74.49,2.0,25.51,🟢 Alta (>30%)
Enterprise,Germany, Paseo , Low , $809.00 ,10.0,125.0,101125.0,2022.5,99102.5,97080.0,2022.5,2013-01-10,10, October ,2013,2013,1,Jan,Q1,2.04,2.0,97.96,🟠 Baja (0-15%)
Enterprise,Mexico, Paseo , Low ," $2,145.00 ",10.0,125.0,268125.0,5362.5,262762.5,257400.0,5362.5,2013-01-10,10, October ,2013,2013,1,Jan,Q1,2.04,2.0,97.96,🟠 Baja (0-15%)
Channel Partners,France, Paseo , Low ," $1,785.00 ",10.0,12.0,21420.0,428.4,20991.6,5355.0,15636.6,2013-01-11,11, November ,2013,2013,1,Jan,Q1,74.49,2.0,25.51,🟢 Alta (>30%)
Small Business,Canada, Paseo , Low ," $1,916.00 ",10.0,300.0,574800.0,11496.0,563304.0,479000.0,84304.0,2014-01-12,12, December ,2014,2014,1,Jan,Q1,14.97,2.0,85.03,🟠 Baja (0-15%)
Government,Canada, Paseo , Low ," $2,852.00 ",10.0,350.0,998200.0,19964.0,978236.0,741520.0,236716.0,2014-01-12,12, December ,2014,2014,1,Jan,Q1,24.2,2.0,75.8,🟡 Media (15-30%)
Enterprise,Canada, Paseo , Low ," $2,729.00 ",10.0,125.0,341125.0,6822.5,334302.5,327480.0,6822.5,2014-01-12,12, December ,2014,2014,1,Jan,Q1,2.04,2.0,97.96,🟠 Baja (0-15%)
Midmarket,United States of America, Paseo , Low ," $1,925.00 ",10.0,15.0,28875.0,577.5,28297.5,19250.0,9047.5,2013-01-12,12, December ,2013,2013,1,Jan,Q1,31.97,2.0,68.03,🟢 Alta (>30%)
Government,United States of America, Paseo , Low ," $2,013.00 ",10.0,7.0,14091.0,281.82,13809.18,10065.0,3744.18,2013-01-12,12, December ,2013,2013,1,Jan,Q1,27.11,2.0,72.89,🟡 Media (15-30%)
Channel Partners,France, Paseo , Low ," $1,055.00 ",10.0,12.0,12660.0,253.2,12406.8,3165.0,9241.8,2014-01-12,12, December ,2014,2014,1,Jan,Q1,74.49,2.0,25.51,🟢 Alta (>30%)
Channel Partners,Mexico, Paseo , Low ," $1,084.00 ",10.0,12.0,13008.0,260.16,12747.84,3252.0,9495.84,2014-01-12,12, December ,2014,2014,1,Jan,Q1,74.49,2.0,25.51,🟢 Alta (>30%)
Government,United States of America, Velo , Low ," $1,566.00 ",120.0,20.0,31320.0,626.4,30693.6,15660.0,15033.6,2014-01-10,10, October ,2014,2014,1,Jan,Q1,48.98,2.0,51.02,🟢 Alta (>30%)
Government,Germany, Velo , Low ," $2,966.00 ",120.0,350.0,1038100.0,20762.0,1017338.0,771160.0,246178.0,2013-01-10,10, October ,2013,2013,1,Jan,Q1,24.2,2.0,75.8,🟡 Media (15-30%)
Government,Germany, Velo , Low ," $2,877.00 ",120.0,350.0,1006950.0,20139.0,986811.0,748020.0,238791.0,2014-01-10,10, October ,2014,2014,1,Jan,Q1,24.2,2.0,75.8,🟡 Media (15-30%)
Enterprise,Germany, Velo , Low , $809.00 ,120.0,125.0,101125.0,2022.5,99102.5,97080.0,2022.5,2013-01-10,10, October ,2013,2013,1,Jan,Q1,2.04,2.0,97.96,🟠 Baja (0-15%)
